nama_variabel;nama_variabel_turunan;nama_tahun;nama_turunan_tahun;data_content;nama_item_vertical_variabel
"[SP2010] Proyeksi Penduduk Menurut Kabupaten/Kota (Perempuan)";"Tidak Ada";2010;Tahun;108693;Paser
"[SP2010] Proyeksi Penduduk Menurut Kabupaten/Kota (Perempuan)";"Tidak Ada";2010;Tahun;66308;"Kutai Barat"
"[SP2010] Proyeksi Penduduk Menurut Kabupaten/Kota (Perempuan)";"Tidak Ada";2010;Tahun;299017;"Kutai Kartanegara"
"[SP2010] Proyeksi Penduduk Menurut Kabupaten/Kota (Perempuan)";"Tidak Ada";2010;Tahun;117798;"Kutai Timur"
"[SP2010] Proyeksi Penduduk Menurut Kabupaten/Kota (Perempuan)";"Tidak Ada";2010;Tahun;83198;Berau
"[SP2010] Proyeksi Penduduk Menurut Kabupaten/Kota (Perempuan)";"Tidak Ada";2010;Tahun;68540;"Penajam Paser Utara"
"[SP2010] Proyeksi Penduduk Menurut Kabupaten/Kota (Perempuan)";"Tidak Ada";2010;Tahun;11682;"Mahakam Ulu"
"[SP2010] Proyeksi Penduduk Menurut Kabupaten/Kota (Perempuan)";"Tidak Ada";2010;Tahun;270804;Balikpapan
"[SP2010] Proyeksi Penduduk Menurut Kabupaten/Kota (Perempuan)";"Tidak Ada";2010;Tahun;352761;Samarinda
"[SP2010] Proyeksi Penduduk Menurut Kabupaten/Kota (Perempuan)";"Tidak Ada";2010;Tahun;68913;Bontang
"[SP2010] Proyeksi Penduduk Menurut Kabupaten/Kota (Perempuan)";"Tidak Ada";2010;Tahun;1447714;"Kalimantan Timur"
"[SP2010] Proyeksi Penduduk Menurut Kabupaten/Kota (Perempuan)";"Tidak Ada";2011;Tahun;111566;Paser
"[SP2010] Proyeksi Penduduk Menurut Kabupaten/Kota (Perempuan)";"Tidak Ada";2011;Tahun;66941;"Kutai Barat"
"[SP2010] Proyeksi Penduduk Menurut Kabupaten/Kota (Perempuan)";"Tidak Ada";2011;Tahun;307344;"Kutai Kartanegara"
"[SP2010] Proyeksi Penduduk Menurut Kabupaten/Kota (Perempuan)";"Tidak Ada";2011;Tahun;123071;"Kutai Timur"
"[SP2010] Proyeksi Penduduk Menurut Kabupaten/Kota (Perempuan)";"Tidak Ada";2011;Tahun;85875;Berau
"[SP2010] Proyeksi Penduduk Menurut Kabupaten/Kota (Perempuan)";"Tidak Ada";2011;Tahun;69587;"Penajam Paser Utara"
"[SP2010] Proyeksi Penduduk Menurut Kabupaten/Kota (Perempuan)";"Tidak Ada";2011;Tahun;11841;"Mahakam Ulu"
"[SP2010] Proyeksi Penduduk Menurut Kabupaten/Kota (Perempuan)";"Tidak Ada";2011;Tahun;276372;Balikpapan
"[SP2010] Proyeksi Penduduk Menurut Kabupaten/Kota (Perempuan)";"Tidak Ada";2011;Tahun;360814;Samarinda
"[SP2010] Proyeksi Penduduk Menurut Kabupaten/Kota (Perempuan)";"Tidak Ada";2011;Tahun;70697;Bontang
"[SP2010] Proyeksi Penduduk Menurut Kabupaten/Kota (Perempuan)";"Tidak Ada";2011;Tahun;1484108;"Kalimantan Timur"
"[SP2010] Proyeksi Penduduk Menurut Kabupaten/Kota (Perempuan)";"Tidak Ada";2012;Tahun;114431;Paser
"[SP2010] Proyeksi Penduduk Menurut Kabupaten/Kota (Perempuan)";"Tidak Ada";2012;Tahun;67414;"Kutai Barat"
"[SP2010] Proyeksi Penduduk Menurut Kabupaten/Kota (Perempuan)";"Tidak Ada";2012;Tahun;315656;"Kutai Kartanegara"
"[SP2010] Proyeksi Penduduk Menurut Kabupaten/Kota (Perempuan)";"Tidak Ada";2012;Tahun;128728;"Kutai Timur"
"[SP2010] Proyeksi Penduduk Menurut Kabupaten/Kota (Perempuan)";"Tidak Ada";2012;Tahun;88487;Berau
