nama_variabel;nama_variabel_turunan;nama_tahun;nama_turunan_tahun;data_content;nama_item_vertical_variabel
"Jumlah Perusahaan Menurut 2-digit KBLI";Mikro;2010;Tahun;881590;"10 Makanan "
"Jumlah Perusahaan Menurut 2-digit KBLI";Mikro;2010;Tahun;29848;"11 Minuman "
"Jumlah Perusahaan Menurut 2-digit KBLI";Mikro;2010;Tahun;22804;"12 Pengolahan Tembakau "
"Jumlah Perusahaan Menurut 2-digit KBLI";Mikro;2010;Tahun;221054;"13 Tekstil "
"Jumlah Perusahaan Menurut 2-digit KBLI";Mikro;2010;Tahun;244810;"14 Pakaian Jadi"
"Jumlah Perusahaan Menurut 2-digit KBLI";Mikro;2010;Tahun;26647;"15 Kulit, Barang dari Kulit dan Alas Kaki"
"Jumlah Perusahaan Menurut 2-digit KBLI";Mikro;2010;Tahun;623761;"16 Kayu, Gabus (Tidak Termasuk Furnitur) dan Anyaman dari Bambu, Rotan dsj"
"Jumlah Perusahaan Menurut 2-digit KBLI";Mikro;2010;Tahun;6780;"17 Kertas dan Barang dari Kertas"
"Jumlah Perusahaan Menurut 2-digit KBLI";Mikro;2010;Tahun;19675;"18 Pencetakan dan Reproduksi Media Rekaman "
"Jumlah Perusahaan Menurut 2-digit KBLI";Mikro;2010;Tahun;-;"19 Produk dari Batu Bara dan Pengilangan Minyak Bumi "
"Jumlah Perusahaan Menurut 2-digit KBLI";Mikro;2010;Tahun;18223;"20 Bahan Kimia dan Barang dari Bahan Kimia "
"Jumlah Perusahaan Menurut 2-digit KBLI";Mikro;2010;Tahun;4974;"21 Farmasi, Produk Obat Kimia dan Obat Tradisional "
"Jumlah Perusahaan Menurut 2-digit KBLI";Mikro;2010;Tahun;12346;"22 Karet, Barang dari Karet dan Plastik "
"Jumlah Perusahaan Menurut 2-digit KBLI";Mikro;2010;Tahun;193129;"23 Barang Galian Bukan Logam"
"Jumlah Perusahaan Menurut 2-digit KBLI";Mikro;2010;Tahun;1288;"24 Logam Dasar"
"Jumlah Perusahaan Menurut 2-digit KBLI";Mikro;2010;Tahun;54571;"25 Barang Logam, Bukan Mesin dan Peralatannya "
"Jumlah Perusahaan Menurut 2-digit KBLI";Mikro;2010;Tahun;397;"26 Komputer, Barang Elektronik dan Optik "
"Jumlah Perusahaan Menurut 2-digit KBLI";Mikro;2010;Tahun;113;"27 Peralatan Listrik"
"Jumlah Perusahaan Menurut 2-digit KBLI";Mikro;2010;Tahun;1129;"28 Mesin dan Perlengkapan ytdl"
"Jumlah Perusahaan Menurut 2-digit KBLI";Mikro;2010;Tahun;3314;"29 Kendaraan Bermotor, Trailer dan Semi Trailer"
"Jumlah Perusahaan Menurut 2-digit KBLI";Mikro;2010;Tahun;4383;"30 Alat Angkutan Lainnya"
"Jumlah Perusahaan Menurut 2-digit KBLI";Mikro;2010;Tahun;96938;"31 Furnitur "
"Jumlah Perusahaan Menurut 2-digit KBLI";Mikro;2010;Tahun;55592;"32 Pengolahan Lainnya "
"Jumlah Perusahaan Menurut 2-digit KBLI";Mikro;2010;Tahun;6481;"33 Jasa Reparasi dan Pemasangan Mesin dan Peralatan "
"Jumlah Perusahaan Menurut 2-digit KBLI";Mikro;2010;Tahun;-;
"Jumlah Perusahaan Menurut 2-digit KBLI";Mikro;2010;Tahun;2529847;JUMLAH
"Jumlah Perusahaan Menurut 2-digit KBLI";Kecil;2010;Tahun;48320;"10 Makanan "
"Jumlah Perusahaan Menurut 2-digit KBLI";Kecil;2010;Tahun;547;"11 Minuman "
"Jumlah Perusahaan Menurut 2-digit KBLI";Kecil;2010;Tahun;30365;"12 Pengolahan Tembakau "
"Jumlah Perusahaan Menurut 2-digit KBLI";Kecil;2010;Tahun;13603;"13 Tekstil "
"Jumlah Perusahaan Menurut 2-digit KBLI";Kecil;2010;Tahun;31738;"14 Pakaian Jadi"
"Jumlah Perusahaan Menurut 2-digit KBLI";Kecil;2010;Tahun;6263;"15 Kulit, Barang dari Kulit dan Alas Kaki"
"Jumlah Perusahaan Menurut 2-digit KBLI";Kecil;2010;Tahun;15345;"16 Kayu, Gabus (Tidak Termasuk Furnitur) dan Anyaman dari Bambu, Rotan dsj"
"Jumlah Perusahaan Menurut 2-digit KBLI";Kecil;2010;Tahun;488;"17 Kertas dan Barang dari Kertas"
"Jumlah Perusahaan Menurut 2-digit KBLI";Kecil;2010;Tahun;4630;"18 Pencetakan dan Reproduksi Media Rekaman "
"Jumlah Perusahaan Menurut 2-digit KBLI";Kecil;2010;Tahun;-;"19 Produk dari Batu Bara dan Pengilangan Minyak Bumi "
"Jumlah Perusahaan Menurut 2-digit KBLI";Kecil;2010;Tahun;945;"20 Bahan Kimia dan Barang dari Bahan Kimia "
"Jumlah Perusahaan Menurut 2-digit KBLI";Kecil;2010;Tahun;69;"21 Farmasi, Produk Obat Kimia dan Obat Tradisional "
"Jumlah Perusahaan Menurut 2-digit KBLI";Kecil;2010;Tahun;1440;"22 Karet, Barang dari Karet dan Plastik "
"Jumlah Perusahaan Menurut 2-digit KBLI";Kecil;2010;Tahun;22429;"23 Barang Galian Bukan Logam"
"Jumlah Perusahaan Menurut 2-digit KBLI";Kecil;2010;Tahun;265;"24 Logam Dasar"
"Jumlah Perusahaan Menurut 2-digit KBLI";Kecil;2010;Tahun;7160;"25 Barang Logam, Bukan Mesin dan Peralatannya "
"Jumlah Perusahaan Menurut 2-digit KBLI";Kecil;2010;Tahun;37;"26 Komputer, Barang Elektronik dan Optik "
"Jumlah Perusahaan Menurut 2-digit KBLI";Kecil;2010;Tahun;86;"27 Peralatan Listrik"
"Jumlah Perusahaan Menurut 2-digit KBLI";Kecil;2010;Tahun;411;"28 Mesin dan Perlengkapan ytdl"
"Jumlah Perusahaan Menurut 2-digit KBLI";Kecil;2010;Tahun;174;"29 Kendaraan Bermotor, Trailer dan Semi Trailer"
"Jumlah Perusahaan Menurut 2-digit KBLI";Kecil;2010;Tahun;325;"30 Alat Angkutan Lainnya"
"Jumlah Perusahaan Menurut 2-digit KBLI";Kecil;2010;Tahun;10228;"31 Furnitur "
"Jumlah Perusahaan Menurut 2-digit KBLI";Kecil;2010;Tahun;7306;"32 Pengolahan Lainnya "
"Jumlah Perusahaan Menurut 2-digit KBLI";Kecil;2010;Tahun;703;"33 Jasa Reparasi dan Pemasangan Mesin dan Peralatan "
"Jumlah Perusahaan Menurut 2-digit KBLI";Kecil;2010;Tahun;-;
"Jumlah Perusahaan Menurut 2-digit KBLI";Kecil;2010;Tahun;202877;JUMLAH
"Jumlah Perusahaan Menurut 2-digit KBLI";Mikro;2011;Tahun;872869;"10 Makanan "
"Jumlah Perusahaan Menurut 2-digit KBLI";Mikro;2011;Tahun;32516;"11 Minuman "
"Jumlah Perusahaan Menurut 2-digit KBLI";Mikro;2011;Tahun;54258;"12 Pengolahan Tembakau "
"Jumlah Perusahaan Menurut 2-digit KBLI";Mikro;2011;Tahun;226017;"13 Tekstil "
"Jumlah Perusahaan Menurut 2-digit KBLI";Mikro;2011;Tahun;202809;"14 Pakaian Jadi"
"Jumlah Perusahaan Menurut 2-digit KBLI";Mikro;2011;Tahun;17690;"15 Kulit, Barang dari Kulit dan Alas Kaki"
"Jumlah Perusahaan Menurut 2-digit KBLI";Mikro;2011;Tahun;697970;"16 Kayu, Gabus (Tidak Termasuk Furnitur) dan Anyaman dari Bambu, Rotan dsj"
"Jumlah Perusahaan Menurut 2-digit KBLI";Mikro;2011;Tahun;6628;"17 Kertas dan Barang dari Kertas"
"Jumlah Perusahaan Menurut 2-digit KBLI";Mikro;2011;Tahun;19058;"18 Pencetakan dan Reproduksi Media Rekaman "
"Jumlah Perusahaan Menurut 2-digit KBLI";Mikro;2011;Tahun;-;"19 Produk dari Batu Bara dan Pengilangan Minyak Bumi "
"Jumlah Perusahaan Menurut 2-digit KBLI";Mikro;2011;Tahun;23678;"20 Bahan Kimia dan Barang dari Bahan Kimia "
"Jumlah Perusahaan Menurut 2-digit KBLI";Mikro;2011;Tahun;3862;"21 Farmasi, Produk Obat Kimia dan Obat Tradisional "
"Jumlah Perusahaan Menurut 2-digit KBLI";Mikro;2011;Tahun;14457;"22 Karet, Barang dari Karet dan Plastik "
"Jumlah Perusahaan Menurut 2-digit KBLI";Mikro;2011;Tahun;179578;"23 Barang Galian Bukan Logam"
"Jumlah Perusahaan Menurut 2-digit KBLI";Mikro;2011;Tahun;815;"24 Logam Dasar"
"Jumlah Perusahaan Menurut 2-digit KBLI";Mikro;2011;Tahun;68827;"25 Barang Logam, Bukan Mesin dan Peralatannya "
